filename,typing_result,touch_location
6pm-video-signin-1-clicked_frames_crop/bbox-0584.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-0605.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-0640.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-0693.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-0727.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-0756.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-0776.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-0826.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-0922.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-0947.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-0990.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1014.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1032.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1109.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1150.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1182.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1214.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1244.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1288.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1383.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1430.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1460.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1480.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1505.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1531.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1553.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1574.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1600.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1630.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1651.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1698.jpg,typing,out
6pm-video-signin-1-clicked_frames_crop/bbox-1761.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1783.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1799.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1840.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1863.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1888.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1907.jpg,typing,onKeyboard
6pm-video-signin-1-clicked_frames_crop/bbox-1928.jpg,typing,onKeyboard
