,filename,typing_result,touch_location
0,6pm-video-signin-1-clicked_frames_crop/bbox-0584.jpg,typing,onKeyboard
1,6pm-video-signin-1-clicked_frames_crop/bbox-0605.jpg,typing,onKeyboard
2,6pm-video-signin-1-clicked_frames_crop/bbox-0640.jpg,typing,onKeyboard
3,6pm-video-signin-1-clicked_frames_crop/bbox-0693.jpg,typing,onKeyboard
4,6pm-video-signin-1-clicked_frames_crop/bbox-0727.jpg,typing,onKeyboard
5,6pm-video-signin-1-clicked_frames_crop/bbox-0756.jpg,typing,onKeyboard
6,6pm-video-signin-1-clicked_frames_crop/bbox-0776.jpg,typing,onKeyboard
7,6pm-video-signin-1-clicked_frames_crop/bbox-0826.jpg,typing,onKeyboard
8,6pm-video-signin-1-clicked_frames_crop/bbox-0922.jpg,typing,onKeyboard
9,6pm-video-signin-1-clicked_frames_crop/bbox-0947.jpg,typing,onKeyboard
10,6pm-video-signin-1-clicked_frames_crop/bbox-0990.jpg,typing,onKeyboard
11,6pm-video-signin-1-clicked_frames_crop/bbox-1014.jpg,typing,onKeyboard
12,6pm-video-signin-1-clicked_frames_crop/bbox-1032.jpg,typing,onKeyboard
13,6pm-video-signin-1-clicked_frames_crop/bbox-1109.jpg,typing,onKeyboard
14,6pm-video-signin-1-clicked_frames_crop/bbox-1150.jpg,typing,onKeyboard
15,6pm-video-signin-1-clicked_frames_crop/bbox-1182.jpg,typing,onKeyboard
16,6pm-video-signin-1-clicked_frames_crop/bbox-1214.jpg,typing,onKeyboard
17,6pm-video-signin-1-clicked_frames_crop/bbox-1244.jpg,typing,onKeyboard
18,6pm-video-signin-1-clicked_frames_crop/bbox-1288.jpg,typing,onKeyboard
19,6pm-video-signin-1-clicked_frames_crop/bbox-1383.jpg,typing,onKeyboard
20,6pm-video-signin-1-clicked_frames_crop/bbox-1430.jpg,typing,onKeyboard
21,6pm-video-signin-1-clicked_frames_crop/bbox-1460.jpg,typing,onKeyboard
22,6pm-video-signin-1-clicked_frames_crop/bbox-1480.jpg,typing,onKeyboard
23,6pm-video-signin-1-clicked_frames_crop/bbox-1505.jpg,typing,onKeyboard
24,6pm-video-signin-1-clicked_frames_crop/bbox-1531.jpg,typing,onKeyboard
25,6pm-video-signin-1-clicked_frames_crop/bbox-1553.jpg,typing,onKeyboard
26,6pm-video-signin-1-clicked_frames_crop/bbox-1574.jpg,typing,onKeyboard
27,6pm-video-signin-1-clicked_frames_crop/bbox-1600.jpg,typing,onKeyboard
28,6pm-video-signin-1-clicked_frames_crop/bbox-1630.jpg,typing,onKeyboard
29,6pm-video-signin-1-clicked_frames_crop/bbox-1651.jpg,typing,onKeyboard
30,6pm-video-signin-1-clicked_frames_crop/bbox-1698.jpg,typing,out
31,6pm-video-signin-1-clicked_frames_crop/bbox-1761.jpg,typing,onKeyboard
32,6pm-video-signin-1-clicked_frames_crop/bbox-1783.jpg,typing,onKeyboard
33,6pm-video-signin-1-clicked_frames_crop/bbox-1799.jpg,typing,onKeyboard
34,6pm-video-signin-1-clicked_frames_crop/bbox-1840.jpg,typing,onKeyboard
35,6pm-video-signin-1-clicked_frames_crop/bbox-1863.jpg,typing,onKeyboard
36,6pm-video-signin-1-clicked_frames_crop/bbox-1888.jpg,typing,onKeyboard
37,6pm-video-signin-1-clicked_frames_crop/bbox-1907.jpg,typing,onKeyboard
38,6pm-video-signin-1-clicked_frames_crop/bbox-1928.jpg,typing,onKeyboard
