,filename,typing_result,touch_location
0,6pm-filter-1-clicked_frames_crop/bbox-0180.jpg,typing,onKeyboard
1,6pm-filter-1-clicked_frames_crop/bbox-0211.jpg,typing,onKeyboard
2,6pm-filter-1-clicked_frames_crop/bbox-0240.jpg,typing,onKeyboard
3,6pm-filter-1-clicked_frames_crop/bbox-0285.jpg,typing,onKeyboard
4,6pm-filter-1-clicked_frames_crop/bbox-0306.jpg,typing,onKeyboard
5,6pm-filter-1-clicked_frames_crop/bbox-0356.jpg,typing,out
6,6pm-filter-2-clicked_frames_crop/bbox-0248.jpg,typing,onKeyboard
7,6pm-filter-2-clicked_frames_crop/bbox-0332.jpg,typing,onKeyboard
8,6pm-filter-2-clicked_frames_crop/bbox-0443.jpg,typing,out
9,aliexpress-filter-1-clicked_frames_crop/bbox-0314.jpg,typing,onKeyboard
10,aliexpress-filter-1-clicked_frames_crop/bbox-0348.jpg,typing,onKeyboard
11,aliexpress-filter-1-clicked_frames_crop/bbox-0386.jpg,typing,onKeyboard
12,aliexpress-filter-1-clicked_frames_crop/bbox-0466.jpg,typing,onKeyboard
13,aliexpress-filter-1-clicked_frames_crop/bbox-0505.jpg,typing,onKeyboard
14,aliexpress-filter-1-clicked_frames_crop/bbox-0540.jpg,typing,onKeyboard
15,aliexpress-filter-1-clicked_frames_crop/bbox-0589.jpg,typing,onKeyboard
16,aliexpress-filter-2-clicked_frames_crop/bbox-0136.jpg,typing,onKeyboard
17,aliexpress-filter-2-clicked_frames_crop/bbox-0180.jpg,typing,onKeyboard
18,aliexpress-filter-2-clicked_frames_crop/bbox-0215.jpg,typing,onKeyboard
19,aliexpress-filter-2-clicked_frames_crop/bbox-0246.jpg,typing,onKeyboard
20,aliexpress-filter-2-clicked_frames_crop/bbox-0276.jpg,typing,onKeyboard
21,aliexpress-filter-2-clicked_frames_crop/bbox-0310.jpg,typing,onKeyboard
22,aliexpress-filter-2-clicked_frames_crop/bbox-0337.jpg,typing,onKeyboard
