,filename,typing_result,touch_location
0,6pm-account-1-clicked_frames_crop/bbox-0722.jpg,typing,onKeyboard
1,6pm-account-1-clicked_frames_crop/bbox-0747.jpg,typing,onKeyboard
2,6pm-account-1-clicked_frames_crop/bbox-0770.jpg,typing,onKeyboard
3,6pm-account-1-clicked_frames_crop/bbox-0801.jpg,typing,onKeyboard
4,6pm-account-1-clicked_frames_crop/bbox-0814.jpg,typing,onKeyboard
5,6pm-account-1-clicked_frames_crop/bbox-0828.jpg,typing,onKeyboard
6,6pm-account-1-clicked_frames_crop/bbox-0852.jpg,typing,onKeyboard
7,6pm-account-1-clicked_frames_crop/bbox-0868.jpg,typing,onKeyboard
8,6pm-account-1-clicked_frames_crop/bbox-0917.jpg,typing,onKeyboard
9,6pm-account-1-clicked_frames_crop/bbox-0932.jpg,typing,onKeyboard
10,6pm-account-1-clicked_frames_crop/bbox-0945.jpg,typing,onKeyboard
11,6pm-account-1-clicked_frames_crop/bbox-0961.jpg,typing,onKeyboard
12,6pm-account-1-clicked_frames_crop/bbox-0984.jpg,typing,onKeyboard
13,6pm-account-1-clicked_frames_crop/bbox-1003.jpg,typing,onKeyboard
14,6pm-account-1-clicked_frames_crop/bbox-1018.jpg,typing,onKeyboard
15,6pm-account-1-clicked_frames_crop/bbox-1043.jpg,typing,onKeyboard
16,6pm-account-1-clicked_frames_crop/bbox-1064.jpg,typing,onKeyboard
17,6pm-account-1-clicked_frames_crop/bbox-1092.jpg,typing,onKeyboard
18,6pm-account-1-clicked_frames_crop/bbox-1112.jpg,typing,onKeyboard
19,6pm-account-1-clicked_frames_crop/bbox-1139.jpg,typing,onKeyboard
20,6pm-account-1-clicked_frames_crop/bbox-1157.jpg,typing,onKeyboard
21,6pm-account-1-clicked_frames_crop/bbox-1181.jpg,typing,onKeyboard
22,6pm-account-1-clicked_frames_crop/bbox-1201.jpg,typing,onKeyboard
23,6pm-account-1-clicked_frames_crop/bbox-1221.jpg,typing,onKeyboard
24,6pm-account-1-clicked_frames_crop/bbox-1241.jpg,typing,onKeyboard
25,6pm-account-1-clicked_frames_crop/bbox-1262.jpg,typing,onKeyboard
26,6pm-account-1-clicked_frames_crop/bbox-1289.jpg,typing,onKeyboard
27,6pm-account-1-clicked_frames_crop/bbox-1303.jpg,typing,onKeyboard
28,6pm-account-1-clicked_frames_crop/bbox-1334.jpg,typing,out
29,6pm-account-1-clicked_frames_crop/bbox-1376.jpg,typing,onKeyboard
30,6pm-account-1-clicked_frames_crop/bbox-1396.jpg,typing,onKeyboard
31,6pm-account-1-clicked_frames_crop/bbox-1413.jpg,typing,onKeyboard
32,6pm-account-1-clicked_frames_crop/bbox-1437.jpg,typing,onKeyboard
33,6pm-account-1-clicked_frames_crop/bbox-1450.jpg,typing,onKeyboard
34,6pm-account-1-clicked_frames_crop/bbox-1466.jpg,typing,onKeyboard
35,6pm-account-1-clicked_frames_crop/bbox-1481.jpg,typing,onKeyboard
36,6pm-account-1-clicked_frames_crop/bbox-1495.jpg,typing,onKeyboard
37,6pm-account-1-clicked_frames_crop/bbox-1508.jpg,typing,onKeyboard
38,6pm-account-1-clicked_frames_crop/bbox-1533.jpg,typing,onKeyboard
39,6pm-account-1-clicked_frames_crop/bbox-1550.jpg,typing,onKeyboard
40,6pm-account-1-clicked_frames_crop/bbox-1571.jpg,typing,onKeyboard
