,filename,typing_result,touch_location
0,aliexpress-removebookmark-1-clicked_frames_crop/bbox-0991.jpg,typing,onKeyboard
1,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1017.jpg,typing,onKeyboard
2,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1032.jpg,typing,onKeyboard
3,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1048.jpg,typing,onKeyboard
4,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1059.jpg,typing,onKeyboard
5,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1067.jpg,typing,onKeyboard
6,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1076.jpg,typing,onKeyboard
7,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1093.jpg,typing,onKeyboard
8,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1107.jpg,typing,onKeyboard
9,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1139.jpg,typing,onKeyboard
10,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1155.jpg,typing,onKeyboard
11,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1170.jpg,typing,onKeyboard
12,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1179.jpg,typing,onKeyboard
13,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1197.jpg,typing,onKeyboard
14,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1209.jpg,typing,onKeyboard
15,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1219.jpg,typing,onKeyboard
16,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1227.jpg,typing,onKeyboard
17,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1251.jpg,typing,onKeyboard
18,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1269.jpg,typing,onKeyboard
19,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1285.jpg,typing,onKeyboard
20,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1342.jpg,typing,onKeyboard
21,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1357.jpg,typing,onKeyboard
22,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1382.jpg,typing,onKeyboard
23,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1398.jpg,typing,onKeyboard
24,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1413.jpg,typing,onKeyboard
25,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1427.jpg,typing,onKeyboard
26,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1441.jpg,typing,onKeyboard
27,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1458.jpg,typing,onKeyboard
28,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1473.jpg,typing,onKeyboard
29,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1507.jpg,typing,onKeyboard
30,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1516.jpg,typing,onKeyboard
31,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1536.jpg,typing,onKeyboard
32,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1549.jpg,typing,onKeyboard
33,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1559.jpg,typing,onKeyboard
34,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1581.jpg,typing,onKeyboard
35,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1601.jpg,typing,out
36,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1743.jpg,typing,onKeyboard
37,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1758.jpg,typing,onKeyboard
38,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1769.jpg,typing,onKeyboard
39,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1775.jpg,typing,onKeyboard
40,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1811.jpg,typing,onKeyboard
41,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1834.jpg,typing,onKeyboard
42,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1848.jpg,typing,onKeyboard
43,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1885.jpg,typing,onKeyboard
44,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1905.jpg,typing,onKeyboard
45,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1914.jpg,typing,onKeyboard
46,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1928.jpg,typing,onKeyboard
47,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1951.jpg,typing,onKeyboard
48,aliexpress-removebookmark-1-clicked_frames_crop/bbox-1971.jpg,typing,out
49,dailyhunt-video-removeBookmark1-clicked_frames_crop/bbox-0961.jpg,typing,onKeyboard
50,dailyhunt-video-removeBookmark1-clicked_frames_crop/bbox-0984.jpg,typing,onKeyboard
51,dailyhunt-video-removeBookmark1-clicked_frames_crop/bbox-1005.jpg,typing,onKeyboard
52,dailyhunt-video-removeBookmark1-clicked_frames_crop/bbox-1026.jpg,typing,onKeyboard
53,dailyhunt-video-removeBookmark1-clicked_frames_crop/bbox-1048.jpg,typing,onKeyboard
54,dailyhunt-video-removeBookmark1-clicked_frames_crop/bbox-1094.jpg,typing,onKeyboard
55,dailyhunt-video-removeBookmark1-clicked_frames_crop/bbox-1132.jpg,typing,onKeyboard
56,dailyhunt-video-removeBookmark1-clicked_frames_crop/bbox-1159.jpg,typing,onKeyboard
